jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|tmParams|minThreshold,  modelParams|sensorParams|encoders|timestamp_weekend:radius,  modelParams|tmParams|activationThreshold,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius,  modelParams|tmParams|pamLength,  modelParams|sensorParams|encoders|speed:n,  modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|clParams|alpha,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=speed,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=speed, 
1003,  1258,  completed,  eof,  2019-04-09 10:24:09,  2019-04-09 10:26:16,  127,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|sensorParams|encoders|speed:n_272.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|clParams|alpha_0.05005.modelParams|spParams|synPermInactiveDec_0.05015,  10283,  11,  None,  14,  None,  3,  272,  None,  275,  0.05005,  0.05015,  0.708561594264,  6.15268867033, 
1003,  1265,  completed,  eof,  2019-04-09 10:24:10,  2019-04-09 10:25:29,  79,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_3.5.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  10283,  11,  None,  14,  None,  3,  None,  3.5,  275,  0.05005,  0.05015,  2.47055391496,  21.4526855605, 
1003,  1280,  completed,  eof,  2019-04-09 10:24:11,  2019-04-09 10:25:30,  79,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.25.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  10283,  11,  None,  14,  6.25,  3,  None,  None,  275,  0.05005,  0.05015,  2.47055391496,  21.4526855605, 
1003,  1281,  completed,  eof,  2019-04-09 10:24:11,  2019-04-09 10:25:31,  80,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  10283,  11,  1,  14,  None,  3,  None,  None,  275,  0.05005,  0.05015,  2.47055391496,  21.4526855605, 
1003,  1282,  completed,  eof,  2019-04-09 10:25:30,  2019-04-09 10:26:40,  70,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|sensorParams|encoders|speed:n_22.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.1,  10283,  9,  None,  12,  None,  1,  22,  None,  28,  0.0001,  0.1,  7.71391501863,  66.9826277958, 
1003,  1283,  completed,  eof,  2019-04-09 10:25:30,  2019-04-09 10:26:46,  76,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.0.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  10283,  9,  None,  12,  None,  1,  None,  1.0,  28,  0.0001,  0.1,  7.71391501863,  66.9826277958, 
1003,  1284,  completed,  eof,  2019-04-09 10:25:31,  2019-04-09 10:27:11,  100,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_0.5.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  10283,  9,  None,  12,  0.5,  1,  None,  None,  28,  0.0001,  0.1,  7.71391501863,  66.9826277958, 
1003,  1285,  completed,  eof,  2019-04-09 10:26:16,  2019-04-09 10:27:41,  85,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  10283,  9,  1,  12,  None,  1,  None,  None,  28,  0.0001,  0.1,  7.71391501863,  66.9826277958, 
1003,  1286,  completed,  eof,  2019-04-09 10:26:40,  2019-04-09 10:29:26,  166,  modelParams|tmParams|minThreshold_12.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|sensorParams|encoders|speed:n_521.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|clParams|alpha_0.1.modelParams|spParams|synPermInactiveDec_0.0003,  10283,  12,  None,  16,  None,  5,  521,  None,  521,  0.1,  0.0003,  0.527839881402,  4.58341869548, 
1003,  1287,  completed,  eof,  2019-04-09 10:26:46,  2019-04-09 10:28:32,  106,  modelParams|tmParams|minThreshold_12.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_6.0.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  10283,  12,  None,  16,  None,  5,  None,  6.0,  521,  0.1,  0.0003,  1.65313726517,  14.3547702899, 
1003,  1288,  completed,  eof,  2019-04-09 10:27:11,  2019-04-09 10:28:50,  99,  modelParams|tmParams|minThreshold_12.modelParams|tmParams|activationThreshold_16.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_12.0.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  10283,  12,  None,  16,  12.0,  5,  None,  None,  521,  0.1,  0.0003,  1.65313726517,  14.3547702899, 
1003,  1289,  completed,  eof,  2019-04-09 10:27:41,  2019-04-09 10:29:14,  93,  modelParams|tmParams|minThreshold_12.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  10283,  12,  1,  16,  None,  5,  None,  None,  521,  0.1,  0.0003,  1.65313726517,  14.3547702899, 
1003,  1290,  completed,  eof,  2019-04-09 10:28:33,  2019-04-09 10:29:55,  82,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|sensorParams|encoders|speed:n_147.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|clParams|alpha_0.025075.modelParams|spParams|synPermInactiveDec_0.075075,  10283,  10,  None,  13,  None,  2,  147,  None,  151,  0.025075,  0.075075,  0.716161263496,  6.21867926191, 
1003,  1291,  completed,  eof,  2019-04-09 10:28:51,  2019-04-09 10:30:04,  73,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.025075.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_4.75.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|spParams|synPermInactiveDec_0.075075,  10283,  10,  None,  13,  None,  2,  None,  4.75,  151,  0.025075,  0.075075,  2.61560441986,  22.7122099341, 
1003,  1292,  completed,  eof,  2019-04-09 10:29:14,  2019-04-09 10:30:31,  77,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_9.125.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.025075.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|spParams|synPermInactiveDec_0.075075,  10283,  10,  None,  13,  9.125,  2,  None,  None,  151,  0.025075,  0.075075,  2.61560441986,  22.7122099341, 
1003,  1293,  completed,  eof,  2019-04-09 10:29:26,  2019-04-09 10:30:44,  78,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.025075.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|spParams|synPermInactiveDec_0.075075,  10283,  10,  1,  13,  None,  2,  None,  None,  151,  0.025075,  0.075075,  2.61560441986,  22.7122099341, 
1003,  1294,  completed,  eof,  2019-04-09 10:29:55,  2019-04-09 10:32:10,  135,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_15.modelParams|tmParams|pamLength_4.modelParams|sensorParams|encoders|speed:n_396.modelParams|sensorParams|encoders|_classifierInput|n_398.modelParams|clParams|alpha_0.075025.modelParams|spParams|synPermInactiveDec_0.025225,  10283,  11,  None,  15,  None,  4,  396,  None,  398,  0.075025,  0.025225,  0.463554963302,  4.02521022007, 
1003,  1295,  completed,  eof,  2019-04-09 10:30:04,  2019-04-09 10:31:36,  92,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_15.modelParams|tmParams|pamLength_4.modelParams|clParams|alpha_0.075025.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_2.25.modelParams|sensorParams|encoders|_classifierInput|n_398.modelParams|spParams|synPermInactiveDec_0.025225,  10283,  11,  None,  15,  None,  4,  None,  2.25,  398,  0.075025,  0.025225,  2.34189168745,  20.3354663436, 
1003,  1296,  completed,  eof,  2019-04-09 10:30:31,  2019-04-09 10:32:01,  90,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_15.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_3.375.modelParams|tmParams|pamLength_4.modelParams|clParams|alpha_0.075025.modelParams|sensorParams|encoders|_classifierInput|n_398.modelParams|spParams|synPermInactiveDec_0.025225,  10283,  11,  None,  15,  3.375,  4,  None,  None,  398,  0.075025,  0.025225,  2.34717597753,  20.3813516864, 
1003,  1297,  completed,  eof,  2019-04-09 10:30:44,  2019-04-09 10:32:11,  87,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_15.modelParams|tmParams|pamLength_4.modelParams|clParams|alpha_0.075025.modelParams|sensorParams|encoders|_classifierInput|n_398.modelParams|spParams|synPermInactiveDec_0.025225,  10283,  11,  1,  15,  None,  4,  None,  None,  398,  0.075025,  0.025225,  2.34189168745,  20.3354663436, 
1003,  1298,  completed,  eof,  2019-04-09 10:31:36,  2019-04-09 10:34:04,  148,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|sensorParams|encoders|speed:n_521.modelParams|sensorParams|encoders|_classifierInput|n_499.modelParams|clParams|alpha_0.0967420378759.modelParams|spParams|synPermInactiveDec_0.0112901772453,  10283,  11,  None,  16,  None,  5,  521,  None,  499,  0.0967420378759,  0.0112901772453,  0.34159778228,  2.96621327187, 
1003,  1299,  completed,  eof,  2019-04-09 10:32:02,  2019-04-09 10:33:42,  100,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.0967420378759.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_5.77979721944.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0112901772453,  10283,  11,  None,  16,  None,  5,  None,  5.77979721944,  521,  0.0967420378759,  0.0112901772453,  1.77358513558,  15.4006613651, 
1003,  1300,  completed,  eof,  2019-04-09 10:32:10,  2019-04-09 10:33:49,  99,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_16.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_12.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.0956003484444.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0112901772453,  10283,  11,  None,  16,  12,  5,  None,  None,  521,  0.0956003484444,  0.0112901772453,  1.80121371429,  15.6405699977, 
1003,  1301,  completed,  eof,  2019-04-09 10:32:11,  2019-04-09 10:33:51,  100,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|sensorParams|encoders|_classifierInput|n_517.modelParams|spParams|synPermInactiveDec_0.0147258727645,  10283,  11,  1,  16,  None,  5,  None,  None,  517,  0.1,  0.0147258727645,  1.62938770803,  14.1485445612, 
1003,  1302,  completed,  eof,  2019-04-09 10:33:42,  2019-04-09 10:36:02,  140,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_4.modelParams|sensorParams|encoders|speed:n_372.modelParams|sensorParams|encoders|_classifierInput|n_353.modelParams|clParams|alpha_0.0576505568139.modelParams|spParams|synPermInactiveDec_0.039217765868,  10283,  10,  None,  14,  None,  4,  372,  None,  353,  0.0576505568139,  0.039217765868,  0.369659353465,  3.20988172991, 
1003,  1303,  completed,  eof,  2019-04-09 10:33:50,  2019-04-09 10:35:34,  104,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_15.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.0784990757519.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_5.30959443888.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.00732535449062,  10283,  11,  None,  15,  None,  5,  None,  5.30959443888,  521,  0.0784990757519,  0.00732535449062,  2.31098438448,  20.067087399, 
1003,  1304,  completed,  eof,  2019-04-09 10:33:51,  2019-04-09 10:35:36,  105,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_15.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_12.modelParams|tmParams|pamLength_4.modelParams|clParams|alpha_0.0762156968887.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.00732535449062,  10283,  11,  None,  15,  12,  4,  None,  None,  521,  0.0762156968887,  0.00732535449062,  2.37243296788,  20.6006669861, 
1003,  1305,  completed,  eof,  2019-04-09 10:34:04,  2019-04-09 10:35:47,  103,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.0918849959146.modelParams|sensorParams|encoders|_classifierInput|n_487.modelParams|spParams|synPermInactiveDec_0.0258905655495,  10283,  10,  1,  16,  None,  5,  None,  None,  487,  0.0918849959146,  0.0258905655495,  1.96783568388,  17.0874069598, 
1003,  1306,  completed,  eof,  2019-04-09 10:35:34,  2019-04-09 10:38:12,  158,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|sensorParams|encoders|speed:n_521.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|clParams|alpha_0.1.modelParams|spParams|synPermInactiveDec_0.0149512462059,  10283,  11,  None,  16,  None,  5,  521,  None,  521,  0.1,  0.0149512462059,  0.379212913805,  3.29283864282, 
1003,  1307,  completed,  eof,  2019-04-09 10:35:36,  2019-04-09 10:37:17,  101,  modelParams|tmParams|minThreshold_12.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_6.modelParams|sensorParams|encoders|_classifierInput|n_496.modelParams|spParams|synPermInactiveDec_0.005285,  10283,  12,  None,  16,  None,  5,  None,  6,  496,  0.1,  0.005285,  1.66710961056,  14.4760970622, 
1003,  1308,  completed,  eof,  2019-04-09 10:35:47,  2019-04-09 10:37:31,  104,  modelParams|tmParams|minThreshold_12.modelParams|tmParams|activationThreshold_16.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_11.425.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.005285,  10283,  12,  None,  16,  11.425,  5,  None,  None,  521,  0.1,  0.005285,  1.65313726517,  14.3547702899, 
1003,  1309,  completed,  eof,  2019-04-09 10:36:02,  2019-04-09 10:37:43,  101,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0169788200205,  10283,  11,  1,  16,  None,  5,  None,  None,  521,  0.1,  0.0169788200205,  1.65313726517,  14.3547702899, 
1003,  1310,  completed,  eof,  2019-04-09 10:37:17,  2019-04-09 10:39:46,  149,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|sensorParams|encoders|speed:n_497.modelParams|sensorParams|encoders|_classifierInput|n_409.modelParams|clParams|alpha_0.0799058897451.modelParams|spParams|synPermInactiveDec_0.0139890120738,  10283,  11,  None,  16,  None,  5,  497,  None,  409,  0.0799058897451,  0.0139890120738,  0.249736964356,  2.16855359307, 
1003,  1311,  completed,  eof,  2019-04-09 10:37:32,  2019-04-09 10:39:16,  104,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.0826255568139.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_5.51489860972.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.00432276586796,  10283,  11,  None,  16,  None,  5,  None,  5.51489860972,  521,  0.0826255568139,  0.00432276586796,  2.19415063701,  19.0525790201, 
1003,  1312,  completed,  eof,  2019-04-09 10:37:43,  2019-04-09 10:39:28,  105,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_16.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_12.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.0809130226666.modelParams|sensorParams|encoders|_classifierInput|n_497.modelParams|spParams|synPermInactiveDec_0.00432276586796,  10283,  11,  None,  16,  12,  5,  None,  None,  497,  0.0809130226666,  0.00432276586796,  2.26938000616,  19.7058219999, 
1003,  1313,  completed,  eof,  2019-04-09 10:38:12,  2019-04-09 10:39:48,  96,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.092664996936.modelParams|sensorParams|encoders|_classifierInput|n_451.modelParams|spParams|synPermInactiveDec_0.0211701291673,  10283,  11,  1,  16,  None,  5,  None,  None,  451,  0.092664996936,  0.0211701291673,  1.80649038232,  15.6863891556, 
1003,  1314,  completed,  eof,  2019-04-09 10:39:16,  2019-04-09 10:41:39,  143,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|sensorParams|encoders|speed:n_497.modelParams|sensorParams|encoders|_classifierInput|n_455.modelParams|clParams|alpha_0.0981488518692.modelParams|spParams|synPermInactiveDec_0.0179538348285,  10283,  10,  None,  16,  None,  5,  497,  None,  455,  0.0981488518692,  0.0179538348285,  0.318380249806,  2.76460729977, 
1003,  1315,  completed,  eof,  2019-04-09 10:39:28,  2019-04-09 10:41:09,  101,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_5.04469582916.modelParams|sensorParams|encoders|_classifierInput|n_496.modelParams|spParams|synPermInactiveDec_0.0003,  10283,  11,  None,  16,  None,  5,  None,  5.04469582916,  496,  0.1,  0.0003,  1.66710961056,  14.4760970622, 
1003,  1316,  completed,  eof,  2019-04-09 10:39:46,  2019-04-09 10:41:25,  99,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_16.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_12.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|sensorParams|encoders|_classifierInput|n_496.modelParams|spParams|synPermInactiveDec_0.0003,  10283,  11,  None,  16,  12,  5,  None,  None,  496,  0.1,  0.0003,  1.66710961056,  14.4760970622, 
1003,  1317,  completed,  eof,  2019-04-09 10:39:48,  2019-04-09 10:41:30,  102,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|sensorParams|encoders|_classifierInput|n_479.modelParams|spParams|synPermInactiveDec_0.0117292564028,  10283,  10,  1,  16,  None,  5,  None,  None,  479,  0.1,  0.0117292564028,  1.54829961884,  13.4444282618, 
1003,  1318,  completed,  eof,  2019-04-09 10:41:09,  2019-04-09 10:43:38,  149,  modelParams|tmParams|minThreshold_12.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|sensorParams|encoders|speed:n_521.modelParams|sensorParams|encoders|_classifierInput|n_482.modelParams|clParams|alpha_0.0943606428145.modelParams|spParams|synPermInactiveDec_0.00394894141022,  10283,  12,  None,  16,  None,  5,  521,  None,  482,  0.0943606428145,  0.00394894141022,  0.455522893302,  3.95546494106, 
1003,  1319,  completed,  eof,  2019-04-09 10:41:26,  2019-04-09 10:43:09,  103,  modelParams|tmParams|minThreshold_12.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.00586984095563,  10283,  12,  1,  16,  None,  5,  None,  None,  521,  0.1,  0.00586984095563,  1.65313726517,  14.3547702899, 
1003,  1320,  completed,  eof,  2019-04-09 10:41:31,  2019-04-09 10:44:05,  154,  modelParams|tmParams|minThreshold_12.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|sensorParams|encoders|speed:n_521.modelParams|sensorParams|encoders|_classifierInput|n_480.modelParams|clParams|alpha_0.0906164034283.modelParams|spParams|synPermInactiveDec_0.00183263384599,  10283,  12,  None,  16,  None,  5,  521,  None,  480,  0.0906164034283,  0.00183263384599,  0.585695213888,  5.08579682546, 
